32,Rhona,40181.57,15.82,02.11.2014,Male,true,FFDBAC
33,Louisa,24152.34,19.5,03.01.2016,Female,true,8D5524
34,Christye,46051.77,18.24,18.03.2015,Male,true,C68642
35,Mordecai,34365.67,19.17,27.10.2015,Male,false,E0AC69
36,Adlai,48298.25,17.7,22.02.2015,Male,false,E0AC69
37,Raul,25907.88,18.83,07.02.2014,Male,true,C68642
38,Lurleen,57202.81,18.59,12.05.2017,Male,true,8D5524
39,Baillie,33336.63,12.05,25.01.2015,Male,true,C68642
40,Gabriele,51223.68,16.21,12.01.2018,Female,false,C68642
41,Aleece,23404.16,18.83,27.09.2016,Female,true,C68642
42,Eric,51843.42,19.63,06.12.2015,Male,true,E0AC69
43,Sergeant,41362.92,15.7,31.03.2015,Female,true,8D5524
44,Minette,45458.96,13.79,30.11.2014,Female,true,F1C27D
45,Ahmad,47245.56,18.53,15.01.2016,Male,true,C68642
46,Stacey,54326.11,15.99,16.09.2015,Female,false,C68642
47,Marty,36339.22,13.4,15.11.2015,Female,true,8D5524
48,Barbra,23761.04,18.9,30.04.2016,Female,false,C68642
49,Celestina,21254.71,16.34,23.01.2018,Female,false,E0AC69
50,Levon,49341.8,18.36,18.01.2017,Male,true,C68642
51,Rusty,24779.0,16.0,02.06.2016,Female,false,8D5524
52,Killy,58700.61,12.73,02.08.2015,Male,true,F1C27D
53,Garwood,32204.07,13.3,25.08.2014,Male,false,C68642
54,Care,46054.87,16.3,16.03.2017,Female,true,E0AC69
55,Dominic,22478.73,18.87,08.09.2016,Female,false,C68642
56,Tore,47114.39,14.11,08.06.2017,Male,true,F1C27D
57,Thaddeus,57709.02,13.26,23.11.2017,Male,false,E0AC69
58,Jemmy,27003.21,18.91,27.09.2015,Female,false,F1C27D
59,Desiri,21919.85,15.39,30.09.2014,Male,false,8D5524
60,Ford,48516.32,13.7,16.07.2016,Female,true,E0AC69
61,Niall,55363.34,15.71,06.07.2014,Male,true,8D5524
62,Aime,23692.02,16.1,11.03.2016,Female,true,8D5524
63,Chucho,22537.56,18.11,10.04.2017,Male,true,C68642
64,Wenonah,43501.48,16.2,20.08.2014,Female,true,F1C27D
65,Pembroke,36927.11,15.02,01.02.2015,Male,true,E0AC69
66,Debera,56287.49,18.61,05.05.2014,Female,true,FFDBAC
67,Estell,42051.82,12.14,25.01.2015,Male,false,FFDBAC
68,Egbert,29088.85,17.65,21.10.2014,Male,true,C68642
69,Cinderella,34770.49,17.87,21.07.2015,Female,false,8D5524
70,Brit,22402.49,13.93,14.08.2017,Male,true,8D5524
71,Friedrick,26280.18,12.59,17.06.2014,Female,true,8D5524
72,Brew,24969.72,17.35,05.12.2014,Female,true,E0AC69
73,Jamal,21475.27,15.49,10.03.2017,Female,false,E0AC69
74,Reidar,26107.17,12.46,11.07.2016,Female,true,F1C27D
75,Georgette,33960.42,17.55,18.04.2016,Male,false,FFDBAC
76,Savina,44593.45,16.39,24.04.2014,Female,false,FFDBAC
77,Myrtice,42137.36,12.37,09.04.2016,Male,true,FFDBAC
78,Laurianne,29010.0,17.33,20.09.2015,Male,true,F1C27D
79,Andrei,29599.39,13.11,01.12.2015,Female,false,C68642
80,Becky,28167.36,17.76,01.03.2017,Female,true,C68642
81,Sydney,54439.42,14.42,05.01.2018,Male,true,E0AC69
82,Caryl,23398.63,13.12,13.09.2015,Female,false,E0AC69
83,Moina,38929.95,18.82,01.03.2014,Female,false,F1C27D
84,Myranda,48707.68,17.51,22.10.2014,Female,true,F1C27D
85,Bobbie,38262.62,15.08,05.12.2016,Female,true,FFDBAC
86,Damita,41421.01,15.93,31.03.2017,Male,true,E0AC69
87,Vale,25154.9,12.0,16.07.2017,Female,false,E0AC69
88,Dulce,36344.18,13.96,30.10.2016,Female,false,E0AC69
89,Gayelord,32110.58,16.06,09.12.2014,Male,true,FFDBAC
90,Storm,45761.74,17.19,18.11.2016,Female,false,8D5524
91,Ban,44740.93,15.98,24.11.2014,Male,false,C68642
92,Richy,30548.15,13.21,21.07.2017,Female,false,C68642
93,Deonne,43382.99,13.95,12.07.2016,Male,false,F1C27D
94,Ruby,23282.98,17.05,19.07.2017,Female,true,C68642
95,Casper,29246.69,14.15,02.09.2016,Male,false,F1C27D
96,Wilona,33708.14,17.55,18.08.2017,Female,true,8D5524
97,Emmie,33478.96,16.13,15.03.2015,Male,false,C68642
98,Wang,47484.88,19.7,12.07.2017,Male,false,F1C27D
99,Hersch,45077.45,16.19,13.04.2015,Male,true,8D5524
100,Earl,20639.94,19.45,13.06.2015,Female,true,8D5524
